Real Time,Seconds,Count
1743632031.0039706,0,0
1743632041.0141284,10,1
1743632051.0252116,20,5
1743632061.0360801,30,5
1743632071.0471637,40,4
1743632081.0580273,50,2
1743632091.069144,60,2
1743632101.0802522,70,4
1743632111.0912762,80,1
1743632121.1020927,90,6
1743632131.1131175,100,2
1743632141.1241395,110,3
1743632150.1341429,120,2
