Real Time,Seconds,Count
1743634793.8535407,0,0
1743634803.8644931,10,5
1743634813.8754044,20,0
1743634823.8864315,30,2
1743634833.8974779,40,0
1743634843.9082093,50,0
1743634853.9191635,60,4
1743634863.9301844,70,2
1743634873.941045,80,1
1743634883.9521048,90,6
1743634893.9629762,100,3
1743634903.974102,110,3
1743634912.9838445,120,3
