Real Time,Seconds,Count
1743630757.8076873,0,0
1743630767.8178816,10,7
1743630777.828848,20,8
1743630787.8399916,30,17
1743630797.8510113,40,8
1743630807.8618941,50,8
1743630817.8727498,60,6
1743630827.8838995,70,9
1743630837.8949301,80,10
1743630847.9059024,90,10
1743630857.9168303,100,16
1743630867.9279206,110,12
1743630876.9379106,120,8
