Real Time,Seconds,Count
1743632356.2662377,0,0
1743632366.2773814,10,1
1743632376.2886548,20,2
1743632386.2995982,30,1
1743632396.3106873,40,0
1743632406.3215916,50,2
1743632416.3325953,60,2
1743632426.3435385,70,1
1743632436.3545783,80,2
1743632446.3656158,90,2
1743632456.3767493,100,1
1743632466.387821,110,2
1743632475.3962107,120,4
