Real Time,Seconds,Count
1743631564.6536787,0,0
1743631574.6646833,10,1
1743631584.6755471,20,3
1743631594.6863995,30,3
1743631604.6974835,40,3
1743631614.7077546,50,6
1743631624.7185004,60,5
1743631634.7295997,70,5
1743631644.7397075,80,6
1743631654.7508376,90,2
1743631664.7619143,100,3
1743631674.773026,110,6
1743631683.7828474,120,5
