Real Time,Seconds,Count
1743634654.996738,0,0
1743634665.0069366,10,7
1743634675.017579,20,2
1743634685.028601,30,1
1743634695.0386753,40,0
1743634705.049711,50,0
1743634715.0605614,60,1
1743634725.0715113,70,2
1743634735.0816019,80,2
1743634745.0919511,90,2
1743634755.1021395,100,1
1743634765.1130984,110,5
1743634774.1227973,120,4
