Real Time,Seconds,Count
1743634353.3461585,0,0
1743634363.3570776,10,5
1743634373.3682399,20,5
1743634383.3790638,30,3
1743634393.3899958,40,4
1743634403.4008906,50,2
1743634413.4118414,60,2
1743634423.4229245,70,7
1743634433.433371,80,0
1743634443.4442666,90,3
1743634453.4550443,100,2
1743634463.466047,110,0
1743634472.4759328,120,2
