Real Time,Seconds,Count
1743632199.6421285,0,0
1743632209.652894,10,1
1743632219.6637821,20,1
1743632229.6747167,30,2
1743632239.68445,40,2
1743632249.6952894,50,0
1743632259.7064228,60,0
1743632269.717566,70,0
1743632279.7282665,80,1
1743632289.7393737,90,2
1743632299.7503612,100,0
1743632309.7614057,110,1
1743632318.7714248,120,2
