Real Time,Seconds,Count
1743631802.4808643,0,0
1743631812.4915667,10,4
1743631822.5020297,20,7
1743631832.5122035,30,8
1743631842.5212677,40,4
1743631852.5317142,50,4
1743631862.5427334,60,7
1743631872.553542,70,6
1743631882.5634854,80,4
1743631892.574405,90,6
1743631902.5854726,100,5
1743631912.5963347,110,4
1743631921.6061273,120,4
