Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d
1740615392.3646185,34.9028515625,5329,100,0,0,0
1740615393.3766978,24.339375,1585,38.77353193569771,0,1,1
1740615394.388464,24.3977734375,3133,38.68009869512373,0,1,1
1740615395.3998756,24.46125,4649,38.44690323839623,0,1,1
1740615396.4117045,24.5216015625,6159,38.12616390883211,0,1,1
1740615397.4235156,24.5766796875,7883,37.77637338084911,0,1,1
1740615398.4353921,24.6231640625,9591,37.368360349342865,0,1,1
1740615399.4471087,24.6630078125,11303,36.9606860840628,0,1,1
1740615400.459009,24.69796875,12908,36.565095966082396,0,1,1
1740615401.470834,24.7282421875,14550,36.193060574691245,0,1,1
1740615402.482713,24.754609375,15934,35.8560048641143,0,0,0
1740615403.494524,24.77765625,17565,35.55377121007087,0,0,0
1740615404.5061584,24.7977734375,19086,35.28047379196273,0,0,0
1740615405.5179467,24.815546875,20608,35.03602269253724,0,0,0
1740615406.5311759,24.8301953125,21993,34.82592329106181,0,0,0
1740615407.5430198,24.8423046875,23135,34.61586341846862,0,0,0
1740615408.554807,24.8536328125,24774,34.42880268835131,0,0,0
1740615409.5667355,24.8641796875,25669,34.24189369124361,0,0,0
1740615410.5786905,24.8727734375,26956,34.05502701265928,0,0,0
1740615411.5906622,24.8817578125,28208,33.902488927260066,0,0,0
1740615412.6024563,24.888984375,29623,33.738593633756544,0,0,0
1740615413.6131847,24.895234375,30776,33.62011565758755,0,0,1
1740615414.623832,24.9008984375,31900,33.49601230037486,0,0,1
1740615415.6344953,24.9067578125,33162,33.38334481894558,0,0,1
1740615416.645139,24.912421875,34218,33.28770622388193,0,0,1
1740615417.655776,24.9176953125,35254,33.18078948666412,0,0,1
1740615418.6676605,24.9221875,36481,33.12470590190341,0,0,1
1740615419.6795018,24.926875,37627,33.0347849597516,0,0,1
1740615420.691351,24.9301953125,38350,32.97300422418752,0,0,1
1740615421.7030907,24.9337109375,39285,32.91690733321071,0,0,1
1740615422.7142303,24.938984375,40189,32.86099197663446,0,0,1
1740615423.726061,24.9446484375,41216,32.81076936150622,0,0,1
1740615424.7373755,24.949921875,41833,32.78306913790924,0,0,1
1740615425.7489262,24.954609375,43347,32.749685406668505,0,0,1
1740615426.7607954,24.9587109375,44030,32.7162553112786,0,0,1
1740615427.7726731,24.9618359375,44975,32.68837566459169,0,0,1
1740615428.7844002,24.9645703125,45661,32.63794184060945,0,0,1
1740615429.7963564,24.9659375,46678,32.61554603586058,0,0,1
1740615430.8081665,24.968671875,47070,32.55950893764805,0,0,0
