Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746486517.82,37.877009633589545,-122.25934397548238,29.2,1.4,2.4,3.4,26.628984374999998,30.826080735645093,994.7916892209689,154.82406876846596,12535991.0
1746486522.75,37.8768451385292,-122.25937464345934,24.4,1.4,2.4,3.4,26.628984374999998,30.826080735645093,994.7916892209689,154.82406876846596,12535991.0
1746486527.82,37.87700963356064,-122.25934397535859,27.0,1.4,2.4,3.4,26.624921875000002,30.857049349659512,994.7933133008861,154.8103443907282,12535991.0
1746486532.78,37.87700963356064,-122.25934397535856,25.0,1.4,2.4,3.4,26.6197265625,30.89464004744599,994.791003369664,154.82986455458945,12535991.0
1746486537.81,37.87700963356064,-122.25934397535856,29.2,1.8,2.8,3.8,26.6173828125,31.04460897361431,994.771947363152,154.9909001918038,12535991.0
1746486542.79,37.87700963356064,-122.25934397535855,34.6,1.8,2.8,3.8,26.600468749999997,31.960057537703516,994.7797713956476,154.92478166941206,12535991.0
1746486547.81,37.87700963355724,-122.25934397534407,30.8,1.6,2.8,3.6,26.591484375,31.97612766985005,994.790938777461,154.8304104109035,12535991.0
1746486552.8,37.877009633557094,-122.25934397534346,30.6,1.6,2.8,3.6,26.5820703125,31.854702399979168,994.7989804917909,154.76245367739392,12535991.0
1746486557.83,37.877009633557066,-122.2593439753434,30.6,1.4,3.4,3.4,26.569140625,31.61041636426175,994.7998658613236,154.75497185959222,12535991.0
1746486562.82,37.87700963355707,-122.25934397534336,40.0,1.4,3.4,3.4,26.555820312500003,31.446236628920566,994.8021824734966,154.73539539583788,12535991.0
1746486567.82,37.877009633557066,-122.25934397534323,34.4,2.0,3.6,3.6,26.543085937500003,31.361998057482197,994.8044237454085,154.71645556528466,12535991.0
1746486572.78,37.877009633557066,-122.25934397534317,31.8,2.0,3.6,3.6,26.530625000000004,31.310377795679265,994.8088411056433,154.679126943631,12535991.0
1746486577.81,37.87700963355706,-122.25934397534313,33.0,1.4,2.6,2.6,26.5173828125,31.28339175956838,994.8047177172663,154.71397149176033,12535991.0
1746486582.8,37.877009633557066,-122.2593439753431,34.8,1.4,2.6,2.6,26.5060546875,31.254338316916574,994.7909514064862,154.8303037519412,12535991.0
1746486587.81,37.87700963355706,-122.25934397534307,36.4,2.0,4.0,4.0,26.496015625000002,31.2141926047406,994.7941609184578,154.80318157850053,12535991.0
1746486592.79,37.87700963355706,-122.25934397534301,32.8,2.0,4.0,4.0,26.484296875000002,31.187363075388483,994.7925379771447,154.81689630980273,12535991.0
1746486597.78,37.87700963355706,-122.25934397534294,31.2,1.2,3.2,3.2,26.484296875000002,31.187363075388483,994.7925379771447,154.81689630980273,12535991.0
1746486602.78,37.87700963355706,-122.2593439753429,36.4,1.2,3.2,3.2,26.468632812499997,31.18036925453008,994.7861625913481,154.87077194835734,12535991.0
1746486607.8,37.877224797263295,-122.25928884469903,36.4,1.6,3.6,3.6,26.4545703125,31.25088966900928,994.784144403872,154.88782678071522,12535991.0
1746486612.83,37.87712914395815,-122.25929495524902,38.2,1.6,3.6,3.6,26.441250000000004,31.356295692361407,994.7843810764325,154.8858267672308,12535991.0
1746486617.82,37.877047909562684,-122.25932852282376,28.6,1.0,2.4,3.0,26.426679687499995,31.458292264215892,994.779799736711,154.92454205167036,12535991.0
1746486622.79,37.87704790952779,-122.25932852283792,38.8,1.0,2.4,3.0,26.4096484375,31.49159180939738,994.767375052342,155.0295388388852,12535991.0
1746486627.82,37.877047909450326,-122.25932852286918,30.0,1.0,2.0,3.0,26.39375,31.529494449028316,994.7689029146059,155.01662734324773,12535991.0
1746486632.79,37.87704790939855,-122.2593285228901,32.8,1.0,2.0,3.0,26.3808203125,31.566545748638966,994.761485996253,155.07930572474677,12535991.0
1746486637.82,37.87704790932101,-122.2593285229214,34.6,2.2,2.6,4.4,26.3677734375,31.546274230883036,994.7611314448371,155.08230206035532,12535991.0
1746486642.79,37.87704790926928,-122.25932852294228,32.8,2.2,2.6,4.4,26.3552734375,31.550774836318716,994.7516554299866,155.16238178131695,12535991.0
1746486647.8,37.8768451385292,-122.25937464345934,33.2,2.2,2.6,4.4,26.339375,31.550476843495396,994.7479976253587,155.1932932942928,12535991.0
1746486652.84,37.8768451385292,-122.25937464345934,35.8,2.0,3.0,5.0,26.323320312499998,31.574888012258462,994.7451186854427,155.2176229135058,12535991.0
