Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1744844734.6,37.87597046098984,-122.2590075763437,37.2,2.2,2.6,2.6,23.7695703125,45.63455701355323,1002.5766929290178,89.24396674498288,12535991.0
1744844739.55,37.87596904316413,-122.25900580971451,37.8,2.2,2.6,2.6,23.780820312499998,45.562503681514656,1002.5898605024792,89.13339393180561,12535991.0
1744844744.58,37.87596898972205,-122.25900551791429,33.4,3.0,4.0,4.0,23.8026953125,45.54185181150597,1002.5924415606248,89.11172009365843,12535991.0
1744844749.56,37.875972177514065,-122.25904567664804,37.2,3.0,4.0,4.0,23.8434375,45.76692175757715,1002.5888196803477,89.14213402750241,12535991.0
1744844754.59,37.87596743820636,-122.25902400143943,26.6,2.6,3.6,3.6,23.852187499999996,45.68594834549627,1002.5764949317065,89.2456304706106,12535991.0
1744844759.55,37.87596469843764,-122.25897882529995,30.2,2.6,3.6,3.6,23.841914062500003,45.283839298665086,1002.4923232172503,89.95247600079014,12535991.0
1744844764.57,37.8759625253274,-122.25897697503135,35.8,1.4,3.0,3.0,23.815664062499998,44.766295887904306,1002.4501335171074,90.30678816941749,12535991.0
1744844769.56,37.87598129719017,-122.25892298992288,35.8,1.4,3.0,3.0,23.7592578125,44.415596883054704,1002.3702871353698,90.97738205091707,12535991.0
1744844774.61,37.875981794236054,-122.25892203733832,29.6,2.6,3.6,3.6,23.6992578125,44.233856379820125,1002.2473104785704,92.01028660256438,12535991.0
1744844779.55,37.87598384160678,-122.2589134573326,33.2,2.6,3.6,3.6,23.63515625,44.07005879110295,1002.1467829307927,92.8547127502852,12535991.0
1744844784.58,37.875994506193415,-122.25883758163512,30.0,2.6,3.6,3.6,23.56875,43.895287504007364,1002.0327999397174,93.81224960061941,12535991.0
1744844789.55,37.8759960313192,-122.25884127052032,31.4,2.6,3.6,3.6,23.49921875,43.80867014019071,1001.9370282861415,94.61686223203546,12535991.0
1744844794.58,37.876012088118294,-122.25871737201201,34.2,2.0,2.8,2.8,23.4285546875,43.795763994461915,1001.8238986911374,95.5673912593514,12535991.0
1744844799.55,37.87602057550453,-122.25862596762853,30.4,2.0,2.8,2.8,23.349531250000002,43.808521546821396,1001.717880190977,96.45824599525955,12535991.0
1744844804.54,37.876021166172436,-122.25862015907897,25.6,1.8,2.4,2.4,23.349531250000002,43.808521546821396,1001.717880190977,96.45824599525955,12535991.0
1744844809.55,37.87601708212292,-122.25864960127252,27.0,1.8,2.4,2.4,23.2525390625,43.845845198878365,1001.6325965577977,97.17492764921836,12535991.0
1744844814.59,37.876035057585696,-122.25864033771882,21.8,1.6,2.6,3.6,23.144296875000002,43.92545104072551,1001.503874216645,98.2567411281525,12535991.0
1744844819.54,37.87607662221997,-122.25855615095166,21.8,1.6,2.6,3.6,23.00296875,44.04124858775023,1001.4250807142432,98.91899057774137,12535991.0
1744844824.6,37.8760490575117,-122.25853284990666,27.0,1.6,2.6,3.6,22.803554687500004,44.26921069617608,1001.397599033006,99.14998169487507,12535991.0
1744844829.57,37.87624020105668,-122.25851448152099,19.6,1.2,2.2,3.2,22.6220703125,44.69743377311328,1001.4141512839612,99.01085604150218,12535991.0
1744844834.55,37.87624544721523,-122.25851282133979,30.0,1.2,2.2,3.2,22.303359375,45.3321630503939,1001.4447533423402,98.75363923029133,12535991.0
1744844839.61,37.876377713620734,-122.25853733853795,24.0,1.0,2.6,3.6,21.959453125000003,45.99287261008698,1001.4543029152752,98.67337510729479,12535991.0
1744844844.55,37.87633023263753,-122.25871346367134,25.4,1.0,2.6,3.6,21.4939453125,46.92610814162858,1001.5159886346808,98.15492013683209,12535991.0
1744844849.58,37.87630325380156,-122.25863571491462,18.6,0.6,2.6,5.6,20.9423828125,47.61749514399434,1001.5205478485486,98.11660181569066,12535991.0
1744844854.55,37.87629939176363,-122.25859604954559,24.2,0.6,2.6,5.6,20.376093750000003,48.56805233064158,1001.501644583984,98.27547573685561,12535991.0
1744844859.59,37.876344925574294,-122.25866597877936,23.4,1.4,3.4,6.4,19.807265625,49.60682786700569,1001.4979985730067,98.30611932205719,12535991.0
1744844864.57,37.876344328959775,-122.25867050917175,30.6,1.4,3.4,6.4,19.236015625,50.696813848385446,1001.4653299306898,98.58069458184464,12535991.0
1744844869.58,37.87643939852205,-122.25867297803934,30.6,1.0,3.0,6.0,18.661328125,51.921522194124165,1001.4176899136799,98.98111196695302,12535991.0
1744844874.56,37.87654360997733,-122.25860641187985,29.6,1.0,3.0,6.0,18.661328125,51.921522194124165,1001.4176899136799,98.98111196695302,12535991.0
1744844879.6,37.87663237054365,-122.25858689581324,28.8,1.0,2.0,4.0,18.085625,53.34458986886947,1001.3970131979556,99.15490593500404,12535991.0
1744844884.55,37.87663453620904,-122.2586437688716,29.6,1.0,2.0,4.0,17.5591796875,54.87063503120068,1001.3995627056374,99.13347631774717,12535991.0
1744844889.59,37.876602859087015,-122.25866452750562,29.2,0.2,2.0,4.0,17.148515624999998,56.230566630137595,1001.394334798297,99.17741895097281,12535991.0
